id;name;location;date_plant;water_per_hour
1;Chicken Inverse;Metal SQL;2022-12-29;11532
2;Orchestrator;tan Nebraska;2022-12-29;33990
3;value-added;Handmade Metal;2022-12-28;11185
4;Carolina;Berkshire;2022-12-28;90950
5;Gorgeous Baby;even-keeled Optimized grow;2022-12-28;88570
6;Shoes Cambridgeshire;Corner Bedfordshire Gorgeous;2022-12-28;30617
7;Account transmitter;services Cambridgeshire;2022-12-28;81126
8;connect;programming;2022-12-28;58863
9;actuating;Gorgeous;2022-12-28;16388
10;Tonga back-end;Fresh evolve;2022-12-29;85918
